DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT33,2009,62.3,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT33,2010,62.2,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT33,2011,61.9,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT33,2012,62.6,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT33,2013,63.7,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT33,2014,63.7,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT33,2015,63.5,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT33,2016,64.2,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT33,2017,64.6,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT33,2018,65.0,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT33,2019,65.3,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT33,2020,64.1,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT33,2021,64.4,b
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT34,1999,53.0,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT34,2000,54.0,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT34,2001,55.3,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT34,2002,53.8,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT34,2003,55.1,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT34,2004,57.0,b
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT34,2005,59.5,b
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT34,2006,59.6,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT34,2007,59.6,b
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT34,2008,60.1,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT34,2009,61.6,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT34,2010,61.2,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT34,2011,61.4,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT34,2012,62.7,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT34,2013,62.4,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT34,2014,63.5,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT34,2015,64.2,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT34,2016,65.9,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT34,2017,65.1,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT34,2018,65.8,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT34,2019,65.9,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT34,2020,66.1,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,AT34,2021,64.8,b
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,BE10,1999,49.0,b
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,BE10,2000,48.6,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,BE10,2001,47.0,b
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,BE10,2002,47.9,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,BE10,2003,48.6,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,BE10,2004,50.0,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,BE10,2005,51.1,b
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,BE10,2006,51.1,
ESTAT:LFST_R_LFP2ACTRT(1.0),04/07/22 23:00:00,A,PC,F,Y15-74,BE10,2007,52.4,
